Obs.	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10
ind1	0.604407	0.060826	0.071898	0.142065	0.010152	0.10383	0.033006	-0.04255	-0.093404	0.025389
ind2	0.060826	0.546841	0.013405	-0.073965	-0.045343	0.031414	0.034194	0.044867	-0.029529	-0.033365
ind3	0.071898	0.013405	0.556351	0.063194	0.049689	-0.059509	0.08054	-0.078844	-0.044961	0.036095
ind4	0.142065	-0.073965	0.063194	0.634644	0.062554	0.005249	-0.097064	-0.039785	0.064011	0.01265
ind5	0.010152	-0.045343	0.049689	0.062554	0.510525	-0.00301	-0.038255	-0.002948	0.043298	0.049085
ind6	0.10383	0.031414	-0.059509	0.005249	-0.00301	0.55562	0.095401	0.095961	-0.017276	-0.015363
ind7	0.033006	0.034194	0.08054	-0.097064	-0.038255	0.095401	0.56638	0.044658	-0.104688	0.108054
ind8	-0.04255	0.044867	-0.078844	-0.039785	-0.002948	0.095961	0.044658	0.633428	0.039902	0.019138
ind9	-0.093404	-0.029529	-0.044961	0.064011	0.043298	-0.017276	-0.104688	0.039902	0.66901	0.058641
ind10	0.025389	-0.033365	0.036095	0.01265	0.049085	-0.015363	0.108054	0.019138	0.058641	0.522556
